participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._round_number,participant._current_page_name,participant.ip_address,participant.time_started,participant.exclude_from_data_analysis,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.order,player.demand,player.cost,player.payoff,group.id_in_subsession,subsession.round_number,session.code,session.label,session.experimenter_name,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,khauiq6g,,1,63,62,vendorb2,5,Results,127.0.0.1,2017-10-12 11:52:52.868029+00:00,0,1,,,9318.00,1,175,203,3,1575.00,1,1,elpue5le,,,,,,0
2,rxftrjp7,,1,63,62,vendorb2,5,Results,127.0.0.1,2017-10-12 11:52:53.146214+00:00,0,1,,,12771.00,2,120,40,9,-600.00,1,1,elpue5le,,,,,,0
3,7zig3r4y,,1,63,62,vendorb2,5,Results,127.0.0.1,2017-10-12 11:52:53.372367+00:00,0,1,,,14805.00,3,140,122,9,204.00,1,1,elpue5le,,,,,,0
4,wmtulwd5,,1,63,62,vendorb2,5,Results,127.0.0.1,2017-10-12 11:52:53.595515+00:00,0,1,,,5139.00,4,120,19,9,-852.00,1,1,elpue5le,,,,,,0
5,azftdvyv,,1,63,62,vendorb2,5,Results,127.0.0.1,2017-10-12 11:52:53.837675+00:00,0,1,,,10473.00,5,190,203,3,1710.00,1,1,elpue5le,,,,,,0
6,qajgy2bt,,1,63,62,vendorb2,5,Results,127.0.0.1,2017-10-12 11:52:54.056820+00:00,0,1,,,12387.00,6,190,300,3,1710.00,1,1,elpue5le,,,,,,0
7,4i405ylx,,1,63,62,vendorb2,5,Results,127.0.0.1,2017-10-12 11:52:54.279969+00:00,0,1,,,15567.00,7,175,179,3,1575.00,1,1,elpue5le,,,,,,0
8,y70otpig,,1,63,62,vendorb2,5,Results,127.0.0.1,2017-10-12 11:52:54.502117+00:00,0,1,,,8385.00,8,120,10,9,-960.00,1,1,elpue5le,,,,,,0
9,okssb5u1,,1,63,62,vendorb2,5,Results,127.0.0.1,2017-10-12 11:52:54.731269+00:00,0,1,,,7974.00,9,145,61,9,-573.00,1,1,elpue5le,,,,,,0
10,evdaon05,,1,63,62,vendorb2,5,Results,127.0.0.1,2017-10-12 11:52:55.001451+00:00,0,1,,,6249.00,10,195,218,3,1755.00,1,1,elpue5le,,,,,,0
11,giuwf0mt,,1,63,62,vendorb2,5,Results,127.0.0.1,2017-10-12 11:52:55.238609+00:00,0,1,,,9645.00,11,180,162,3,1404.00,1,1,elpue5le,,,,,,0
12,zndgrm87,,1,63,62,vendorb2,5,Results,127.0.0.1,2017-10-12 11:52:55.464757+00:00,0,1,,,8658.00,12,195,299,3,1755.00,1,1,elpue5le,,,,,,0
13,ksg2sk99,,1,63,62,vendorb2,5,Results,127.0.0.1,2017-10-12 11:52:55.686907+00:00,0,1,,,1857.00,13,125,222,9,375.00,1,1,elpue5le,,,,,,0
14,32fs2t83,,1,63,62,vendorb2,5,Results,127.0.0.1,2017-10-12 11:52:55.912055+00:00,0,1,,,8397.00,14,185,234,3,1665.00,1,1,elpue5le,,,,,,0
15,pfsbkg39,,1,63,62,vendorb2,5,Results,127.0.0.1,2017-10-12 11:52:56.137207+00:00,0,1,,,16017.00,15,140,124,9,228.00,1,1,elpue5le,,,,,,0
16,b91i4x1j,,1,63,62,vendorb2,5,Results,127.0.0.1,2017-10-12 11:52:56.372362+00:00,0,1,,,11955.00,16,140,183,9,420.00,1,1,elpue5le,,,,,,0
17,mouxuour,,1,63,62,vendorb2,5,Results,127.0.0.1,2017-10-12 11:52:56.596513+00:00,0,1,,,13266.00,17,135,253,9,405.00,1,1,elpue5le,,,,,,0
18,rhhh7i8p,,1,63,62,vendorb2,5,Results,127.0.0.1,2017-10-12 11:52:56.817660+00:00,0,1,,,10788.00,18,140,73,9,-384.00,1,1,elpue5le,,,,,,0
19,4age7z8n,,1,63,62,vendorb2,5,Results,127.0.0.1,2017-10-12 11:52:57.043810+00:00,0,1,,,6420.00,19,185,7,3,-471.00,1,1,elpue5le,,,,,,0
20,unw65f1k,,1,63,62,vendorb2,5,Results,127.0.0.1,2017-10-12 11:52:57.278965+00:00,0,1,,,6690.00,20,130,273,9,390.00,1,1,elpue5le,,,,,,0
21,nzmlw2vc,,1,63,62,vendorb2,5,Results,127.0.0.1,2017-10-12 11:52:57.515123+00:00,0,1,,,12894.00,21,125,146,9,375.00,1,1,elpue5le,,,,,,0
22,ua26z391,,1,63,62,vendorb2,5,Results,127.0.0.1,2017-10-12 11:52:57.785302+00:00,0,1,,,9045.00,22,145,15,9,-1125.00,1,1,elpue5le,,,,,,0
23,r5xdheeb,,1,63,62,vendorb2,5,Results,127.0.0.1,2017-10-12 11:52:58.050478+00:00,0,1,,,8802.00,23,135,76,9,-303.00,1,1,elpue5le,,,,,,0
24,fe5di2cz,,1,63,62,vendorb2,5,Results,127.0.0.1,2017-10-12 11:52:58.318659+00:00,0,1,,,2658.00,24,120,288,9,360.00,1,1,elpue5le,,,,,,0
25,laq30x6d,,1,63,62,vendorb2,5,Results,127.0.0.1,2017-10-12 11:52:58.546810+00:00,0,1,,,5964.00,25,140,66,9,-468.00,1,1,elpue5le,,,,,,0
26,8sddqebc,,1,63,62,vendorb2,5,Results,127.0.0.1,2017-10-12 11:52:58.768956+00:00,0,1,,,14403.00,26,130,200,9,390.00,1,1,elpue5le,,,,,,0
27,bid74glb,,1,63,62,vendorb2,5,Results,127.0.0.1,2017-10-12 11:52:58.993106+00:00,0,1,,,2130.00,27,130,9,9,-1062.00,1,1,elpue5le,,,,,,0
28,c75i4lwp,,1,63,62,vendorb2,5,Results,127.0.0.1,2017-10-12 11:52:59.227263+00:00,0,1,,,8499.00,28,120,288,9,360.00,1,1,elpue5le,,,,,,0
29,3hr6lwto,,1,63,62,vendorb2,5,Results,127.0.0.1,2017-10-12 11:52:59.449412+00:00,0,1,,,7368.00,29,145,7,9,-1221.00,1,1,elpue5le,,,,,,0
30,kcxe4aoh,,1,63,62,vendorb2,5,Results,127.0.0.1,2017-10-12 11:52:59.670556+00:00,0,1,,,9675.00,30,185,2,3,-531.00,1,1,elpue5le,,,,,,0
1,khauiq6g,,1,63,62,vendorb2,5,Results,127.0.0.1,2017-10-12 11:52:52.868029+00:00,0,1,,,9318.00,1,175,110,3,795.00,1,2,elpue5le,,,,,,0
2,rxftrjp7,,1,63,62,vendorb2,5,Results,127.0.0.1,2017-10-12 11:52:53.146214+00:00,0,1,,,12771.00,2,120,291,9,360.00,1,2,elpue5le,,,,,,0
3,7zig3r4y,,1,63,62,vendorb2,5,Results,127.0.0.1,2017-10-12 11:52:53.372367+00:00,0,1,,,14805.00,3,140,120,9,180.00,1,2,elpue5le,,,,,,0
4,wmtulwd5,,1,63,62,vendorb2,5,Results,127.0.0.1,2017-10-12 11:52:53.595515+00:00,0,1,,,5139.00,4,135,271,9,405.00,1,2,elpue5le,,,,,,0
5,azftdvyv,,1,63,62,vendorb2,5,Results,127.0.0.1,2017-10-12 11:52:53.837675+00:00,0,1,,,10473.00,5,180,85,3,480.00,1,2,elpue5le,,,,,,0
6,qajgy2bt,,1,63,62,vendorb2,5,Results,127.0.0.1,2017-10-12 11:52:54.056820+00:00,0,1,,,12387.00,6,195,78,3,351.00,1,2,elpue5le,,,,,,0
7,4i405ylx,,1,63,62,vendorb2,5,Results,127.0.0.1,2017-10-12 11:52:54.279969+00:00,0,1,,,15567.00,7,195,260,3,1755.00,1,2,elpue5le,,,,,,0
8,y70otpig,,1,63,62,vendorb2,5,Results,127.0.0.1,2017-10-12 11:52:54.502117+00:00,0,1,,,8385.00,8,125,260,9,375.00,1,2,elpue5le,,,,,,0
9,okssb5u1,,1,63,62,vendorb2,5,Results,127.0.0.1,2017-10-12 11:52:54.731269+00:00,0,1,,,7974.00,9,125,203,9,375.00,1,2,elpue5le,,,,,,0
10,evdaon05,,1,63,62,vendorb2,5,Results,127.0.0.1,2017-10-12 11:52:55.001451+00:00,0,1,,,6249.00,10,190,132,3,1014.00,1,2,elpue5le,,,,,,0
11,giuwf0mt,,1,63,62,vendorb2,5,Results,127.0.0.1,2017-10-12 11:52:55.238609+00:00,0,1,,,9645.00,11,195,225,3,1755.00,1,2,elpue5le,,,,,,0
12,zndgrm87,,1,63,62,vendorb2,5,Results,127.0.0.1,2017-10-12 11:52:55.464757+00:00,0,1,,,8658.00,12,185,153,3,1281.00,1,2,elpue5le,,,,,,0
13,ksg2sk99,,1,63,62,vendorb2,5,Results,127.0.0.1,2017-10-12 11:52:55.686907+00:00,0,1,,,1857.00,13,140,167,9,420.00,1,2,elpue5le,,,,,,0
14,32fs2t83,,1,63,62,vendorb2,5,Results,127.0.0.1,2017-10-12 11:52:55.912055+00:00,0,1,,,8397.00,14,190,43,3,-54.00,1,2,elpue5le,,,,,,0
15,pfsbkg39,,1,63,62,vendorb2,5,Results,127.0.0.1,2017-10-12 11:52:56.137207+00:00,0,1,,,16017.00,15,130,137,9,390.00,1,2,elpue5le,,,,,,0
16,b91i4x1j,,1,63,62,vendorb2,5,Results,127.0.0.1,2017-10-12 11:52:56.372362+00:00,0,1,,,11955.00,16,145,250,9,435.00,1,2,elpue5le,,,,,,0
17,mouxuour,,1,63,62,vendorb2,5,Results,127.0.0.1,2017-10-12 11:52:56.596513+00:00,0,1,,,13266.00,17,125,100,9,75.00,1,2,elpue5le,,,,,,0
18,rhhh7i8p,,1,63,62,vendorb2,5,Results,127.0.0.1,2017-10-12 11:52:56.817660+00:00,0,1,,,10788.00,18,145,204,9,435.00,1,2,elpue5le,,,,,,0
19,4age7z8n,,1,63,62,vendorb2,5,Results,127.0.0.1,2017-10-12 11:52:57.043810+00:00,0,1,,,6420.00,19,180,181,3,1620.00,1,2,elpue5le,,,,,,0
20,unw65f1k,,1,63,62,vendorb2,5,Results,127.0.0.1,2017-10-12 11:52:57.278965+00:00,0,1,,,6690.00,20,130,202,9,390.00,1,2,elpue5le,,,,,,0
21,nzmlw2vc,,1,63,62,vendorb2,5,Results,127.0.0.1,2017-10-12 11:52:57.515123+00:00,0,1,,,12894.00,21,120,79,9,-132.00,1,2,elpue5le,,,,,,0
22,ua26z391,,1,63,62,vendorb2,5,Results,127.0.0.1,2017-10-12 11:52:57.785302+00:00,0,1,,,9045.00,22,135,40,9,-735.00,1,2,elpue5le,,,,,,0
