participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._round_number,participant._current_page_name,participant.ip_address,participant.time_started,participant.exclude_from_data_analysis,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.order,player.demand,player.cost,player.payoff,group.id_in_subsession,subsession.round_number,session.code,session.label,session.experimenter_name,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,khauiq6g,,1,63,62,vendorb2,5,Results,127.0.0.1,2017-10-12 11:52:52.868029+00:00,0,1,,,9318.00,1,135,21,9,-963.00,1,1,elpue5le,,,,,,0
2,rxftrjp7,,1,63,62,vendorb2,5,Results,127.0.0.1,2017-10-12 11:52:53.146214+00:00,0,1,,,12771.00,2,130,236,9,390.00,1,1,elpue5le,,,,,,0
3,7zig3r4y,,1,63,62,vendorb2,5,Results,127.0.0.1,2017-10-12 11:52:53.372367+00:00,0,1,,,14805.00,3,120,39,9,-612.00,1,1,elpue5le,,,,,,0
4,wmtulwd5,,1,63,62,vendorb2,5,Results,127.0.0.1,2017-10-12 11:52:53.595515+00:00,0,1,,,5139.00,4,185,134,3,1053.00,1,1,elpue5le,,,,,,0
5,azftdvyv,,1,63,62,vendorb2,5,Results,127.0.0.1,2017-10-12 11:52:53.837675+00:00,0,1,,,10473.00,5,175,46,3,27.00,1,1,elpue5le,,,,,,0
6,qajgy2bt,,1,63,62,vendorb2,5,Results,127.0.0.1,2017-10-12 11:52:54.056820+00:00,0,1,,,12387.00,6,185,137,3,1089.00,1,1,elpue5le,,,,,,0
7,4i405ylx,,1,63,62,vendorb2,5,Results,127.0.0.1,2017-10-12 11:52:54.279969+00:00,0,1,,,15567.00,7,120,24,9,-792.00,1,1,elpue5le,,,,,,0
8,y70otpig,,1,63,62,vendorb2,5,Results,127.0.0.1,2017-10-12 11:52:54.502117+00:00,0,1,,,8385.00,8,175,69,3,303.00,1,1,elpue5le,,,,,,0
9,okssb5u1,,1,63,62,vendorb2,5,Results,127.0.0.1,2017-10-12 11:52:54.731269+00:00,0,1,,,7974.00,9,125,83,9,-129.00,1,1,elpue5le,,,,,,0
10,evdaon05,,1,63,62,vendorb2,5,Results,127.0.0.1,2017-10-12 11:52:55.001451+00:00,0,1,,,6249.00,10,140,7,9,-1176.00,1,1,elpue5le,,,,,,0
11,giuwf0mt,,1,63,62,vendorb2,5,Results,127.0.0.1,2017-10-12 11:52:55.238609+00:00,0,1,,,9645.00,11,125,11,9,-993.00,1,1,elpue5le,,,,,,0
12,zndgrm87,,1,63,62,vendorb2,5,Results,127.0.0.1,2017-10-12 11:52:55.464757+00:00,0,1,,,8658.00,12,135,268,9,405.00,1,1,elpue5le,,,,,,0
13,ksg2sk99,,1,63,62,vendorb2,5,Results,127.0.0.1,2017-10-12 11:52:55.686907+00:00,0,1,,,1857.00,13,190,61,3,162.00,1,1,elpue5le,,,,,,0
14,32fs2t83,,1,63,62,vendorb2,5,Results,127.0.0.1,2017-10-12 11:52:55.912055+00:00,0,1,,,8397.00,14,180,60,3,180.00,1,1,elpue5le,,,,,,0
15,pfsbkg39,,1,63,62,vendorb2,5,Results,127.0.0.1,2017-10-12 11:52:56.137207+00:00,0,1,,,16017.00,15,120,94,9,48.00,1,1,elpue5le,,,,,,0
16,b91i4x1j,,1,63,62,vendorb2,5,Results,127.0.0.1,2017-10-12 11:52:56.372362+00:00,0,1,,,11955.00,16,195,270,3,1755.00,1,1,elpue5le,,,,,,0
17,mouxuour,,1,63,62,vendorb2,5,Results,127.0.0.1,2017-10-12 11:52:56.596513+00:00,0,1,,,13266.00,17,120,47,9,-516.00,1,1,elpue5le,,,,,,0
18,rhhh7i8p,,1,63,62,vendorb2,5,Results,127.0.0.1,2017-10-12 11:52:56.817660+00:00,0,1,,,10788.00,18,185,246,3,1665.00,1,1,elpue5le,,,,,,0
19,4age7z8n,,1,63,62,vendorb2,5,Results,127.0.0.1,2017-10-12 11:52:57.043810+00:00,0,1,,,6420.00,19,175,29,3,-177.00,1,1,elpue5le,,,,,,0
20,unw65f1k,,1,63,62,vendorb2,5,Results,127.0.0.1,2017-10-12 11:52:57.278965+00:00,0,1,,,6690.00,20,180,268,3,1620.00,1,1,elpue5le,,,,,,0
21,nzmlw2vc,,1,63,62,vendorb2,5,Results,127.0.0.1,2017-10-12 11:52:57.515123+00:00,0,1,,,12894.00,21,175,45,3,15.00,1,1,elpue5le,,,,,,0
22,ua26z391,,1,63,62,vendorb2,5,Results,127.0.0.1,2017-10-12 11:52:57.785302+00:00,0,1,,,9045.00,22,140,77,9,-336.00,1,1,elpue5le,,,,,,0
23,r5xdheeb,,1,63,62,vendorb2,5,Results,127.0.0.1,2017-10-12 11:52:58.050478+00:00,0,1,,,8802.00,23,190,121,3,882.00,1,1,elpue5le,,,,,,0
